"medicine_name","category","rxcui","source"
"1,1'-((1-methyl-1,2-ethanediyl)2-propenoic acid, bis(oxy(1-methyl-2,1-ethanediyl))) ester","RxNav Ingredient","1807444","RxNav"
"1,1'-oxybis(2-propanol)","RxNav Ingredient","1798386","RxNav"
"1,1,1,2,2,3,3,4,4-nonafluorononane","RxNav Ingredient","2639943","RxNav"
"1,1,1,2-tetrafluorochloroethane","RxNav Ingredient","2689143","RxNav"
"1,1,1-triethoxyethane","RxNav Ingredient","2474630","RxNav"
"1,1,2,2-tetrafluoroethane","RxNav Ingredient","1487139","RxNav"
"1,1,3-tri(3-tert-butyl-4-hydroxy-6-methylphenyl)butane","RxNav Ingredient","1872247","RxNav"
"1,1,3-tris(2-chloroethoy)propane","RxNav Ingredient","2044897","RxNav"
"1,1-bis(tert-butylperoxy)cyclohexane","RxNav Ingredient","2393522","RxNav"
"1,1-difluoroethane","RxNav Ingredient","1305515","RxNav"
"1,1-diphenylurea","RxNav Ingredient","2471079","RxNav"
"1,10-decanediol","RxNav Ingredient","1309235","RxNav"
"1,2,3,4,5,6,7,8-octahydro-8,8-dimethyl-2-naphthalenecarbonitrile","RxNav Ingredient","2105919","RxNav"
"1,2,3-propanetriol, 2-(4-aminobenzoate)","RxNav Ingredient","2362184","RxNav"
"1,2,4-trihydroxybenzene","RxNav Ingredient","2107302","RxNav"
"1,2,6-hexanetriol","RxNav Ingredient","1362577","RxNav"
"1,2-benzisothiazoline-3-one","RxNav Ingredient","1368198","RxNav"
"1,2-butanediol","RxNav Ingredient","1307758","RxNav"
"1,2-butylene glycol monococoate","RxNav Ingredient","2637734","RxNav"
"1,2-diarachidoyl-sn-glycero-3-phosphocholine","RxNav Ingredient","1307781","RxNav"
"1,2-dibromo-3-chloropropane","RxNav Ingredient","1367191","RxNav"
"1,2-dierucoyl-sn-glycero-3(phospho-rac-(1-glycerol))","RxNav Ingredient","2397985","RxNav"
"1,2-dilinoleoyl-3-oleoyl-sn-glycerol","RxNav Ingredient","2700154","RxNav"
"1,2-dilinoleoyl-sn-glycero-3-phosphocholine","RxNav Ingredient","2119816","RxNav"
"1,2-dimyristoyl-rac-glycero-3-methoxypolyethylene glycol 2000","RxNav Ingredient","2473374","RxNav"
